IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.13,172.30.0.13,493,239376,17,0.1126475294117647,0.921008
192.168.254.2,192.168.254.2,575,145642,14,0.083224,0.225488
10.1.2.3,10.1.2.3,201,36244,19,0.015260631578947368,0.029648
10.1.2.2,10.1.2.2,229,22789,21,0.008681523809523809,0.017776
192.5.5.241,192.5.5.241,17,3709,4,0.007418,0.026456
192.33.4.12,192.33.4.12,10,3028,1,0.024224,0.024224
127.0.0.1,127.0.0.1,17,3026,3,0.008069333333333333,0.012368
10.1.1.2,10.1.1.2,18,1792,6,0.002389333333333333,0.003008
fe80::58f1:f8ff:fecb:ece,fe80::58f1:f8ff:fecb:ece,2,142,1,0.001136,0.001136
fe80::b889:7eff:fe0e:f09b,fe80::b889:7eff:fe0e:f09b,2,142,1,0.001136,0.001136
fe80::cc04:86ff:fef3:1b51,fe80::cc04:86ff:fef3:1b51,2,142,1,0.001136,0.001136
fe80::f438:27ff:fed8:3bfc,fe80::f438:27ff:fed8:3bfc,2,142,1,0.001136,0.001136
fe80::c04c:bbff:fe67:2b8d,fe80::c04c:bbff:fe67:2b8d,1,70,1,0.00056,0.00056
::1,::1,1,63,1,0.000504,0.000504
