Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,67.234375,2,10.0
apt-get,62.730972782258064,155.34375,67.2578125,11,62.0
apt-listchanges,29.55859375,30.44921875,19.7578125,1,5.0
cc1,163.6083096590909,247.03515625,231.4140625,2,11.0
containerd,1433.1522769764956,1449.890625,46.1484375,23,117.0
discern-bash-so,1204.55859375,1204.55859375,12.3046875,1,5.0
discern-file-so,1689.4982244318182,1720.375,438.00390625,130,682.0
discern-logs-so,1205.9296875,1205.9296875,15.32421875,7,41.0
discern-network,2276.285056540916,2289.90234375,172.51171875,127,666.0
discern-proc-so,1206.3814264112902,1206.42578125,20.359375,11,62.0
docker,1299.4071351600985,1381.62890625,54.9140625,116,609.0
dockerd,1560.2434937700964,1630.75,123.13671875,120,622.0
dpkg,21.439453125,21.45703125,17.79296875,2,10.0
exe,1277.8125,1341.203125,88.22265625,3,16.0
pip,85.08630952380952,98.97265625,94.3515625,4,21.0
pip3,62.265625,67.53125,62.96875,2,11.0
python3,3156.915893007287,3492.05859375,1308.52734375,86,446.0
systemd-journal,57.359375,57.359375,20.88671875,2,6.0
