Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,496.0,151.4384878715431,172.22541620689893,96
discern-file-so,629.0,61.01663873924696,139.1919421789918,124
dockerd,609.0,9.16471070150702,30.831866936077663,118
discern-proc-so,631.0,6.58921170179571,49.74007053381924,122
pip,21.0,87.16374565787514,90.8069279406698,4
discern-network,557.0,3.2192052423640893,5.00992333155741,107
pip3,16.0,41.07155576697977,55.8593698563484,3
exe,16.0,33.37054145852119,49.268445979618804,3
dpkg,32.0,14.915052442578359,23.524808532020927,6
dpkg-deb,10.0,41.214906752087785,63.975194306573236,2
cc1,5.0,79.59943232238801,79.59943232238801,1
apt-get,27.0,10.972588642371464,21.630311882160527,5
store,5.0,34.47584561923187,34.47584561923187,1
python,11.0,14.59966043171092,21.14157562828804,2
jbd2/vda2-8,63.0,2.192212507861202,3.0631037283829325,14
mandb,11.0,9.309948663603775,9.9513254165604,2
systemd,19.0,1.9157479612708042,5.371066719389893,5
apt,5.0,5.3851344682046385,5.3851344682046385,1
http,5.0,5.011817178915407,5.011817178915407,1
sshd,8.0,1.9372269058117513,1.9721268213267882,2
containerd,5.0,3.0938186310850857,3.0938186310850857,1
