IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
57.150.97.129,57.150.97.129,19528,1108116301,73,121.43740284931506,166.744064
151.101.130.132,151.101.130.132,1557,76405587,17,35.95557035294117,92.007448
151.101.0.223,151.101.0.223,1650,60710005,19,25.562107368421053,85.684544
151.101.194.132,151.101.194.132,1066,57564515,9,51.168457777777775,87.146784
151.101.2.132,151.101.2.132,834,39877620,5,63.804192,112.036464
104.16.100.215,104.16.100.215,1308,30159579,5,48.2553264,72.278864
151.101.66.132,151.101.66.132,392,19088282,4,38.176564,73.913928
140.82.116.3,140.82.116.3,231,7001522,2,28.006088,55.776624
151.101.192.223,151.101.192.223,131,2682464,4,5.364928,19.030552
172.30.0.12,172.30.0.12,12250,1313651,170,0.06181887058823529,0.343392
104.16.99.215,104.16.99.215,62,976230,3,2.60328,5.831208
151.101.128.223,151.101.128.223,84,641509,6,0.8553453333333333,2.249232
104.16.98.215,104.16.98.215,28,511882,1,4.095056,4.095056
172.17.0.2,172.17.0.2,4876,381267,101,0.030199366336633664,0.090864
192.168.254.2,192.168.254.2,2339,230586,149,0.012380456375838926,0.11816
151.101.64.223,151.101.64.223,26,83670,2,0.33468,0.667552
3.94.224.37,3.94.224.37,90,36522,2,0.146088,0.239384
44.208.254.194,44.208.254.194,67,34951,2,0.139804,0.196328
172.30.0.1,172.30.0.1,170,32877,34,0.007735764705882353,0.023232
98.85.153.80,98.85.153.80,47,11610,3,0.03096,0.077152
fe80::42:2eff:fe76:a769,fe80::42:2eff:fe76:a769,38,3928,14,0.0022445714285714287,0.004872
172.17.0.1,172.17.0.1,30,1888,16,0.000944,0.002104
::,::,16,1488,10,0.0011904,0.002144
fe80::c30:dff:fe48:f2e3,fe80::c30:dff:fe48:f2e3,13,1087,8,0.001087,0.003632
fe80::e09b:e4ff:feca:33b7,fe80::e09b:e4ff:feca:33b7,10,871,4,0.001742,0.00524
fe80::84ae:a7ff:fe8a:8ae,fe80::84ae:a7ff:fe8a:8ae,9,799,3,0.0021306666666666666,0.00524
fe80::3438:86ff:fe2a:9eec,fe80::3438:86ff:fe2a:9eec,8,727,4,0.001454,0.003632
fe80::4406:9dff:fe10:ee6f,fe80::4406:9dff:fe10:ee6f,7,655,3,0.0017466666666666668,0.00292
104.233.211.205,104.233.211.205,4,364,2,0.001456,0.001456
fe80::d809:dfff:fe5d:3325,fe80::d809:dfff:fe5d:3325,4,284,2,0.001136,0.001136
fe80::1270:fdff:fe57:e10,fe80::1270:fdff:fe57:e10,4,284,3,0.0007573333333333334,0.001136
fe80::a4f4:6cff:fe81:fc9a,fe80::a4f4:6cff:fe81:fc9a,4,284,2,0.001136,0.001136
fe80::410:32ff:fead:f69d,fe80::410:32ff:fead:f69d,4,284,3,0.0007573333333333334,0.001136
fe80::84e8:1aff:feda:2175,fe80::84e8:1aff:feda:2175,4,284,2,0.001136,0.001136
fe80::8469:f1ff:fe2b:c359,fe80::8469:f1ff:fe2b:c359,4,284,2,0.001136,0.001136
fe80::709e:9eff:fe0f:7bb5,fe80::709e:9eff:fe0f:7bb5,4,284,3,0.0007573333333333334,0.001136
fe80::50c5:b1ff:fe8f:8488,fe80::50c5:b1ff:fe8f:8488,4,284,2,0.001136,0.001136
fe80::987b:7ff:fead:a56b,fe80::987b:7ff:fead:a56b,4,284,3,0.0007573333333333334,0.001136
fe80::bc83:28ff:fe3e:7aab,fe80::bc83:28ff:fe3e:7aab,3,212,3,0.0005653333333333334,0.000576
fe80::c4d8:e7ff:fe23:42e2,fe80::c4d8:e7ff:fe23:42e2,3,212,2,0.000848,0.001136
fe80::9c63:3cff:fe79:ee4c,fe80::9c63:3cff:fe79:ee4c,2,142,1,0.001136,0.001136
fe80::c4e6:65ff:fe6d:ecc6,fe80::c4e6:65ff:fe6d:ecc6,2,142,1,0.001136,0.001136
fe80::9862:c4ff:feeb:c241,fe80::9862:c4ff:feeb:c241,2,140,2,0.00056,0.00056
