Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,63.93984375,155.3671875,67.21484375,4,25.0
discern-ansible,1205.34375,1205.34375,10.76171875,2,11.0
discern-file-so,1609.4343338012695,1655.49609375,331.29296875,97,512.0
discern-jupyter,1205.33203125,1205.33203125,10.80078125,11,52.0
discern-logs-so,1205.4296875,1205.4296875,15.51171875,80,422.0
discern-network,1875.135612487793,1881.3203125,116.8125,97,512.0
discern-proc-so,1205.92578125,1205.92578125,16.51171875,26,139.0
dpkg,21.21875,21.21875,17.5390625,1,5.0
pip3,115.3935546875,295.19140625,287.7265625,6,32.0
python3,577.6845492356115,838.984375,439.54296875,79,417.0
python3.9,20.125,21.5234375,14.8125,1,6.0
systemd-journal,61.566471354166666,73.28125,24.109375,80,420.0
systemd-resolve,23.53515625,23.59765625,11.7421875,1,3.0
