# Overall Packet Count: 16640
# Overall Total Bytes: 214035913
# Overall Average Packet Size (Bytes): 12862.74
# Overall Capture Duration (Seconds): 1125.000
# Overall Average Rate (Mbps): 1.522

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
151.101.64.223,172.30.0.12,8076,180056690,15,96.03023466666667,129.637992
151.101.130.132,172.30.0.12,742,13661858,5,21.8589728,41.347088
151.101.66.132,172.30.0.12,2285,7696541,5,12.3144656,20.664456
140.82.116.3,172.30.0.12,256,4402552,1,35.220416,35.220416
151.101.2.132,172.30.0.12,1630,3963809,6,5.285078666666666,9.951304
151.101.0.223,172.30.0.12,391,3606289,11,2.622755636363636,7.276088
172.30.0.12,192.168.254.2,3020,623120,63,0.0791263492063492,1.236448
172.30.0.1,172.30.0.12,172,20040,27,0.005937777777777778,0.030848
172.30.0.12,70.116.101.97,12,1092,3,0.002912,0.002912
fe80::1cc7:b6ff:fee0:a2a5,ff02::2,6,426,3,0.001136,0.001136
fe80::2013:6fff:fe85:58e3,ff02::2,6,426,3,0.001136,0.001136
fe80::5808:86ff:fe7c:ad37,ff02::2,6,426,3,0.001136,0.001136
fe80::78c3:1eff:fe63:a0f3,ff02::2,6,426,3,0.001136,0.001136
fe80::9479:e1ff:fea0:a01,ff02::2,6,426,3,0.001136,0.001136
fe80::e09f:7fff:fe00:8cfd,ff02::2,6,426,3,0.001136,0.001136
fe80::f4f8:feff:feeb:b348,ff02::2,6,426,3,0.001136,0.001136
fe80::304c:ff:fee5:b1a0,ff02::2,5,354,3,0.000944,0.001136
fe80::34c2:fcff:fe14:b862,ff02::2,5,354,3,0.000944,0.001136
172.30.0.1,172.30.0.11,4,232,3,0.0006186666666666667,0.000928
