# Overall Packet Count: 3457
# Overall Total Bytes: 1386258
# Overall Average Packet Size (Bytes): 401.00
# Overall Capture Duration (Seconds): 94.000
# Overall Average Rate (Mbps): 0.118

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.4,3033,1292901,16,0.6464505,5.236512
172.30.0.15,192.168.254.2,268,75568,8,0.075568,0.150832
172.30.0.1,172.30.0.15,98,10877,9,0.009668444444444445,0.02192
172.30.0.15,34.117.59.81,16,2814,1,0.022512,0.022512
172.30.0.15,172.67.74.152,18,2316,1,0.018528,0.018528
15.204.198.96,172.30.0.15,4,364,1,0.002912,0.002912
fe80::64ea:d4ff:fea9:42c3,ff02::2,2,142,1,0.001136,0.001136
fe80::84de:f5ff:fea2:cefa,ff02::2,2,142,1,0.001136,0.001136
fe80::7c76:5aff:fe65:b29e,ff02::2,2,142,1,0.001136,0.001136
fe80::6c6d:48ff:fea3:22ef,ff02::2,2,142,1,0.001136,0.001136
fe80::e828:20ff:fe12:610f,ff02::2,2,142,1,0.001136,0.001136
fe80::64a7:eeff:fe06:ca70,ff02::2,2,142,1,0.001136,0.001136
fe80::34c3:3bff:fe79:1ba6,ff02::2,2,142,1,0.001136,0.001136
fe80::1c60:a7ff:fe46:59f8,ff02::2,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e10,ff02::2,2,142,1,0.001136,0.001136
fe80::8490:eaff:fec6:9de5,ff02::2,1,70,1,0.00056,0.00056
fe80::2879:83ff:fe6d:120b,ff02::2,1,70,1,0.00056,0.00056
