IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
192.168.254.2,192.168.254.2,63,19112,3,0.050965333333333335,0.077408
172.30.0.20,172.30.0.20,75,18850,4,0.0377,0.080576
172.30.0.1,172.30.0.1,9,945,2,0.00378,0.00516
216.31.16.12,216.31.16.12,2,182,1,0.001456,0.001456
fe80::9c90:f8ff:fe51:a67d,fe80::9c90:f8ff:fe51:a67d,2,142,1,0.001136,0.001136
fe80::e4e0:7aff:fe92:a768,fe80::e4e0:7aff:fe92:a768,2,142,1,0.001136,0.001136
fe80::d028:55ff:feb0:96a9,fe80::d028:55ff:feb0:96a9,2,142,1,0.001136,0.001136
fe80::cef:9fff:fe65:d385,fe80::cef:9fff:fe65:d385,2,142,1,0.001136,0.001136
fe80::cbc:9cff:fedd:4bfb,fe80::cbc:9cff:fedd:4bfb,2,142,1,0.001136,0.001136
fe80::c09a:d4ff:fe6d:a3e3,fe80::c09a:d4ff:fe6d:a3e3,2,142,1,0.001136,0.001136
fe80::b4f1:5dff:fe9f:55ee,fe80::b4f1:5dff:fe9f:55ee,2,142,1,0.001136,0.001136
fe80::b452:1dff:fe5e:ea84,fe80::b452:1dff:fe5e:ea84,2,142,1,0.001136,0.001136
fe80::a8a2:61ff:feab:d0c4,fe80::a8a2:61ff:feab:d0c4,2,142,1,0.001136,0.001136
fe80::9cda:60ff:fe11:d90d,fe80::9cda:60ff:fe11:d90d,2,142,1,0.001136,0.001136
fe80::7001:4bff:fed2:2f89,fe80::7001:4bff:fed2:2f89,2,142,1,0.001136,0.001136
fe80::7869:d8ff:fed6:93e7,fe80::7869:d8ff:fed6:93e7,2,142,1,0.001136,0.001136
fe80::64ed:11ff:fee0:9aaf,fe80::64ed:11ff:fee0:9aaf,2,142,1,0.001136,0.001136
fe80::6074:55ff:fe70:d047,fe80::6074:55ff:fe70:d047,2,142,1,0.001136,0.001136
fe80::4c2b:62ff:fed5:ca78,fe80::4c2b:62ff:fed5:ca78,2,142,1,0.001136,0.001136
fe80::4452:54ff:fe23:c4fc,fe80::4452:54ff:fe23:c4fc,2,142,1,0.001136,0.001136
fe80::20df:39ff:fe19:8cdd,fe80::20df:39ff:fe19:8cdd,2,142,1,0.001136,0.001136
fe80::18a1:5dff:fe25:6021,fe80::18a1:5dff:fe25:6021,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e58,fe80::1270:fdff:fe57:e58,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e10,fe80::1270:fdff:fe57:e10,2,142,1,0.001136,0.001136
fe80::e842:72ff:fe66:6ab2,fe80::e842:72ff:fe66:6ab2,2,142,1,0.001136,0.001136
