IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
5.6.7.8,5.6.7.8,3930,930244,131,0.05680879389312977,0.79208
1.1.2.3,1.1.2.3,902,69454,76,0.007310947368421052,0.058144
192.168.254.2,192.168.254.2,183,48382,12,0.03225466666666667,0.080384
172.30.0.15,172.30.0.15,182,46318,11,0.033685818181818185,0.077232
172.30.0.1,172.30.0.1,22,2379,6,0.003172,0.006288
1.2.117.248,1.2.117.248,6,330,5,0.000528,0.00088
1.2.238.90,1.2.238.90,5,274,4,0.000548,0.00088
1.2.196.111,1.2.196.111,5,274,4,0.000548,0.00088
1.2.90.127,1.2.90.127,5,274,5,0.0004384,0.000448
1.2.225.10,1.2.225.10,4,220,4,0.00044,0.000448
1.2.245.144,1.2.245.144,4,220,4,0.00044,0.000448
1.2.148.162,1.2.148.162,4,220,3,0.0005866666666666667,0.00088
1.2.104.49,1.2.104.49,4,220,3,0.0005866666666666667,0.00088
1.2.180.252,1.2.180.252,4,220,3,0.0005866666666666667,0.00088
1.2.174.165,1.2.174.165,4,220,4,0.00044,0.000448
1.2.150.70,1.2.150.70,4,220,4,0.00044,0.000448
1.2.150.205,1.2.150.205,4,220,4,0.00044,0.000448
1.2.148.194,1.2.148.194,4,220,2,0.00088,0.00088
1.2.142.173,1.2.142.173,4,220,3,0.0005866666666666667,0.00088
1.2.146.181,1.2.146.181,4,220,4,0.00044,0.000448
1.2.144.108,1.2.144.108,4,220,4,0.00044,0.000448
1.2.31.236,1.2.31.236,4,220,3,0.0005866666666666667,0.00088
1.2.137.154,1.2.137.154,4,220,1,0.00176,0.00176
1.2.133.15,1.2.133.15,4,220,4,0.00044,0.000448
1.2.129.149,1.2.129.149,4,220,4,0.00044,0.000448
1.2.128.46,1.2.128.46,4,220,4,0.00044,0.000448
1.2.12.127,1.2.12.127,4,220,4,0.00044,0.000448
1.2.115.12,1.2.115.12,4,220,3,0.0005866666666666667,0.00088
1.2.114.155,1.2.114.155,4,220,4,0.00044,0.000448
1.2.254.205,1.2.254.205,4,220,4,0.00044,0.000448
1.2.105.46,1.2.105.46,4,220,3,0.0005866666666666667,0.00088
1.2.50.108,1.2.50.108,4,220,4,0.00044,0.000448
