IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.3,10.10.10.3,1486,1036368,22,0.3768610909090909,2.83876
10.10.10.1,10.10.10.1,2108,461252,23,0.16043547826086957,1.37092
172.30.0.14,172.30.0.14,161,34962,11,0.02542690909090909,0.050752
192.168.254.2,192.168.254.2,114,30490,8,0.03049,0.067776
172.30.0.1,172.30.0.1,32,3743,5,0.0059888,0.015312
34.117.59.81,34.117.59.81,9,2108,2,0.008432,0.016336
104.26.12.205,104.26.12.205,10,1542,1,0.012336,0.012336
fe80::20ba:c2ff:fec1:f0d2,fe80::20ba:c2ff:fec1:f0d2,2,142,1,0.001136,0.001136
fe80::70eb:9dff:fec0:90af,fe80::70eb:9dff:fec0:90af,2,142,1,0.001136,0.001136
fe80::94c2:ff:fe01:f41e,fe80::94c2:ff:fe01:f41e,2,142,1,0.001136,0.001136
fe80::e05f:b3ff:fe74:682,fe80::e05f:b3ff:fe74:682,2,142,1,0.001136,0.001136
fe80::e89f:f1ff:fea6:816,fe80::e89f:f1ff:fea6:816,2,142,1,0.001136,0.001136
