# Overall Packet Count: 3741
# Overall Total Bytes: 1726901
# Overall Average Packet Size (Bytes): 461.61
# Overall Capture Duration (Seconds): 1739.000
# Overall Average Rate (Mbps): 0.008

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.11,192.168.254.2,3339,1656356,111,0.11937700900900901,0.204144
172.30.0.15,192.168.254.2,206,54524,6,0.07269866666666666,0.147488
10.10.10.2,10.10.10.4,128,9002,2,0.036008,0.043056
172.30.0.1,172.30.0.15,34,4605,4,0.00921,0.013328
fe80::7c95:17ff:fe74:a4c7,ff02::2,2,142,1,0.001136,0.001136
fe80::bc1a:d7ff:feea:8125,ff02::2,2,142,1,0.001136,0.001136
fe80::b8f4:c7ff:fe7c:23ec,ff02::2,2,142,1,0.001136,0.001136
fe80::b8e0:e5ff:fe22:add0,ff02::2,2,142,1,0.001136,0.001136
fe80::a845:24ff:fe43:65ec,ff02::2,2,142,1,0.001136,0.001136
fe80::8f8:2dff:fe19:d6b2,ff02::2,2,142,1,0.001136,0.001136
fe80::8cbe:34ff:fea4:ab6d,ff02::2,2,142,1,0.001136,0.001136
fe80::84aa:c1ff:fe81:7db4,ff02::2,2,142,1,0.001136,0.001136
fe80::5038:85ff:fe96:71d6,ff02::2,2,142,1,0.001136,0.001136
fe80::78c0:60ff:fe93:24a,ff02::2,2,142,1,0.001136,0.001136
fe80::48b3:27ff:fe5f:1959,ff02::2,2,142,1,0.001136,0.001136
fe80::2c4b:3dff:feea:b48d,ff02::2,2,142,1,0.001136,0.001136
fe80::2893:7dff:fed6:2cd2,ff02::2,2,142,1,0.001136,0.001136
fe80::2832:b2ff:feb4:744d,ff02::2,2,142,1,0.001136,0.001136
fe80::141c:40ff:fea5:7b10,ff02::2,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e58,ff02::2,2,142,2,0.000568,0.000576
fe80::f478:42ff:feef:17c1,ff02::2,2,142,1,0.001136,0.001136
