Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,211.1640625,211.1640625,203.4375,3888,20942.0
discern-ansible,1205.34375,1205.34375,11.6171875,5,27.0
discern-file-so,1443.1956940433824,1591.4296875,305.15625,3739,20302.0
discern-jupyter,1205.33203125,1205.33203125,10.98828125,3,16.0
discern-logs-so,1448.7971925553459,1653.64453125,335.65234375,3850,20801.0
discern-network,1833.7247853505448,1863.1875,65.33984375,3888,21110.0
discern-proc-so,1205.92578125,1205.92578125,15.1953125,368,1954.0
python3,155.46537078373015,232.35546875,15.96875,24,126.0
server.py,171.75390625,235.75390625,19.671875,3451,18862.0
systemd-journal,136.69642763981636,163.3671875,27.13671875,224,1198.0
