IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.11,172.30.0.11,9513,7329632,360,0.1628807111111111,0.267472
192.168.254.2,192.168.254.2,11909,2780530,342,0.06504163742690058,0.166544
10.10.10.1,10.10.10.1,2199,607653,402,0.012092597014925374,1.112352
10.10.10.2,10.10.10.2,3080,452265,401,0.009022743142144638,0.181976
172.30.0.1,172.30.0.1,42,5190,7,0.005931428571428571,0.013024
45.79.189.79,45.79.189.79,2,182,1,0.001456,0.001456
fe80::1270:fdff:fe57:e2c,fe80::1270:fdff:fe57:e2c,2,142,1,0.001136,0.001136
fe80::2c4b:3dff:feea:b48d,fe80::2c4b:3dff:feea:b48d,2,142,1,0.001136,0.001136
fe80::2cb9:7ff:febc:b468,fe80::2cb9:7ff:febc:b468,2,142,1,0.001136,0.001136
fe80::5038:85ff:fe96:71d6,fe80::5038:85ff:fe96:71d6,2,142,1,0.001136,0.001136
fe80::5897:e8ff:fe8e:6ea9,fe80::5897:e8ff:fe8e:6ea9,2,142,1,0.001136,0.001136
fe80::9842:10ff:fe01:33ea,fe80::9842:10ff:fe01:33ea,2,142,1,0.001136,0.001136
fe80::c8cc:31ff:fe8b:5242,fe80::c8cc:31ff:fe8b:5242,2,142,1,0.001136,0.001136
