IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.11,172.30.0.11,3192,2926853,91,0.2573057582417582,0.466096
172.30.0.15,172.30.0.15,136,33450,8,0.03345,0.078256
192.168.254.2,192.168.254.2,116,30782,6,0.041042666666666665,0.079312
10.10.10.2,10.10.10.2,70,5198,3,0.013861333333333333,0.037216
172.30.0.1,172.30.0.1,22,3141,5,0.0050256,0.006912
10.10.10.4,10.10.10.4,35,2244,3,0.005984,0.01664
172.30.0.12,172.30.0.12,13,1356,3,0.003616,0.005728
172.30.0.14,172.30.0.14,2,724,1,0.005792,0.005792
206.226.67.233,206.226.67.233,2,182,1,0.001456,0.001456
fe80::e8b3:f4ff:fec7:7f57,fe80::e8b3:f4ff:fec7:7f57,2,142,1,0.001136,0.001136
fe80::d8a3:1cff:fe0c:8f7b,fe80::d8a3:1cff:fe0c:8f7b,2,142,1,0.001136,0.001136
fe80::cc72:49ff:fea9:6799,fe80::cc72:49ff:fea9:6799,2,142,1,0.001136,0.001136
fe80::c8f6:11ff:fe45:ec1a,fe80::c8f6:11ff:fe45:ec1a,2,142,1,0.001136,0.001136
fe80::ace4:3aff:fec6:8426,fe80::ace4:3aff:fec6:8426,2,142,1,0.001136,0.001136
fe80::c8e9:65ff:fe57:38b4,fe80::c8e9:65ff:fe57:38b4,2,142,1,0.001136,0.001136
fe80::c0d3:15ff:fe84:1784,fe80::c0d3:15ff:fe84:1784,2,142,1,0.001136,0.001136
fe80::bc60:81ff:fe52:6d36,fe80::bc60:81ff:fe52:6d36,2,142,1,0.001136,0.001136
fe80::643e:1fff:fe45:f7c4,fe80::643e:1fff:fe45:f7c4,2,142,1,0.001136,0.001136
fe80::ac21:5aff:fe85:b9ae,fe80::ac21:5aff:fe85:b9ae,2,142,1,0.001136,0.001136
fe80::8081:b6ff:fea3:70c6,fe80::8081:b6ff:fea3:70c6,2,142,1,0.001136,0.001136
fe80::7036:efff:fec5:6a0b,fe80::7036:efff:fec5:6a0b,2,142,1,0.001136,0.001136
fe80::6c56:18ff:fec1:ee3f,fe80::6c56:18ff:fec1:ee3f,2,142,1,0.001136,0.001136
fe80::5808:f4ff:fe87:15d0,fe80::5808:f4ff:fe87:15d0,2,142,1,0.001136,0.001136
fe80::302c:62ff:fef8:9638,fe80::302c:62ff:fef8:9638,2,142,1,0.001136,0.001136
fe80::205c:c9ff:fe19:90d9,fe80::205c:c9ff:fe19:90d9,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e58,fe80::1270:fdff:fe57:e58,2,142,1,0.001136,0.001136
fe80::fcea:b4ff:fe31:9aa3,fe80::fcea:b4ff:fe31:9aa3,2,142,1,0.001136,0.001136
