IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1538,518556,20,0.2074224,1.429944
10.10.10.2,10.10.10.2,1521,165144,20,0.0660576,0.142808
172.30.0.12,172.30.0.12,155,33316,11,0.024229818181818182,0.078384
192.168.254.2,192.168.254.2,114,30390,8,0.03039,0.078832
10.10.10.4,10.10.10.4,83,4952,3,0.013205333333333333,0.02424
10.10.10.3,10.10.10.3,76,4544,3,0.012117333333333334,0.018176
172.30.0.1,172.30.0.1,31,3799,7,0.0043417142857142856,0.013824
34.117.59.81,34.117.59.81,9,2108,1,0.016864,0.016864
172.67.74.152,172.67.74.152,9,1474,1,0.011792,0.011792
129.146.193.200,129.146.193.200,2,182,2,0.000728,0.000736
fe80::2060:31ff:fec0:2846,fe80::2060:31ff:fec0:2846,2,142,1,0.001136,0.001136
fe80::38f1:4fff:fe69:511c,fe80::38f1:4fff:fe69:511c,2,142,2,0.000568,0.000576
fe80::4c98:4cff:fe60:dcb8,fe80::4c98:4cff:fe60:dcb8,2,142,2,0.000568,0.000576
fe80::5081:b3ff:fed7:2d53,fe80::5081:b3ff:fed7:2d53,2,142,1,0.001136,0.001136
fe80::707f:f5ff:fea1:ba09,fe80::707f:f5ff:fea1:ba09,2,142,1,0.001136,0.001136
fe80::888d:f7ff:fe88:f752,fe80::888d:f7ff:fe88:f752,2,142,1,0.001136,0.001136
fe80::8e3:65ff:fedb:e712,fe80::8e3:65ff:fedb:e712,2,142,1,0.001136,0.001136
fe80::9491:69ff:fec6:87df,fe80::9491:69ff:fec6:87df,2,142,1,0.001136,0.001136
