# Overall Packet Count: 455
# Overall Total Bytes: 81353
# Overall Average Packet Size (Bytes): 178.80
# Overall Capture Duration (Seconds): 1143.000
# Overall Average Rate (Mbps): 0.001

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.14,192.168.254.2,218,64280,5,0.102848,0.183136
172.30.0.1,172.30.0.14,55,5405,12,0.0036033333333333334,0.009592
10.10.10.2,10.10.10.3,36,1584,36,0.000352,0.000352
172.30.0.1,172.30.0.12,13,754,9,0.0006702222222222222,0.000928
172.30.0.1,172.30.0.11,13,754,9,0.0006702222222222222,0.000928
172.30.0.14,23.186.168.123,8,728,2,0.002912,0.002912
fe80::c875:eff:fe28:54df,ff02::2,4,284,2,0.001136,0.001136
fe80::986a:34ff:fe50:7585,ff02::2,4,284,2,0.001136,0.001136
fe80::bccd:b6ff:fe28:dc75,ff02::2,4,284,2,0.001136,0.001136
fe80::c470:f9ff:fef4:45e4,ff02::2,4,284,2,0.001136,0.001136
fe80::c47:eeff:fe25:b83a,ff02::2,4,284,2,0.001136,0.001136
fe80::d8ae:f1ff:fe41:c62d,ff02::2,4,284,2,0.001136,0.001136
fe80::cc3d:17ff:fefe:a54b,ff02::2,4,284,2,0.001136,0.001136
fe80::d04d:97ff:fe9c:83fa,ff02::2,4,284,2,0.001136,0.001136
fe80::7448:fcff:fe49:c5a1,ff02::2,4,284,2,0.001136,0.001136
fe80::dc4b:30ff:fe33:e820,ff02::2,4,284,2,0.001136,0.001136
fe80::dc8e:1aff:fe7b:a6a,ff02::2,4,284,2,0.001136,0.001136
fe80::e027:c3ff:fec3:9172,ff02::2,4,284,2,0.001136,0.001136
fe80::84b8:c6ff:fe1f:b8d6,ff02::2,4,284,2,0.001136,0.001136
fe80::4b7:85ff:fefb:2b91,ff02::2,4,284,2,0.001136,0.001136
fe80::5c66:aaff:fea9:bc1f,ff02::2,4,284,2,0.001136,0.001136
fe80::5c05:53ff:fecb:d8a4,ff02::2,4,284,2,0.001136,0.001136
fe80::48a1:f6ff:fe55:4cdc,ff02::2,4,284,2,0.001136,0.001136
fe80::40e8:bcff:feef:2cd,ff02::2,4,284,2,0.001136,0.001136
fe80::38fc:3dff:fe4d:2840,ff02::2,4,284,2,0.001136,0.001136
fe80::24fc:f1ff:fe59:aacd,ff02::2,4,284,2,0.001136,0.001136
fe80::1c47:23ff:feea:abb3,ff02::2,4,284,2,0.001136,0.001136
fe80::14f8:ceff:fe98:72d3,ff02::2,4,284,2,0.001136,0.001136
fe80::148c:9ff:fe8f:10f7,ff02::2,4,284,2,0.001136,0.001136
fe80::1270:fdff:fe57:e58,ff02::2,4,284,2,0.001136,0.001136
fe80::1270:fdff:fe57:dd8,ff02::2,4,284,2,0.001136,0.001136
fe80::f006:7ff:fec2:8963,ff02::2,4,284,2,0.001136,0.001136
172.30.0.1,172.30.0.15,4,232,3,0.0006186666666666667,0.000928
172.30.0.1,172.30.0.13,4,232,3,0.0006186666666666667,0.000928
