IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1133,507226,55,0.07377832727272728,1.412224
172.30.0.12,172.30.0.12,1897,385448,72,0.042827555555555556,0.391136
10.10.10.2,10.10.10.2,955,128273,54,0.019003407407407406,0.05732
192.168.254.2,192.168.254.2,1480,126126,65,0.0155232,0.077424
172.30.0.1,172.30.0.1,44,5198,9,0.004620444444444444,0.014136
34.117.59.81,34.117.59.81,8,2040,1,0.01632,0.01632
172.67.74.152,172.67.74.152,9,1466,1,0.011728,0.011728
fe80::18db:a0ff:fe0b:9b00,fe80::18db:a0ff:fe0b:9b00,2,142,1,0.001136,0.001136
fe80::4c70:d4ff:fe6f:4fc7,fe80::4c70:d4ff:fe6f:4fc7,2,142,1,0.001136,0.001136
fe80::cca4:16ff:fe94:17f5,fe80::cca4:16ff:fe94:17f5,2,142,1,0.001136,0.001136
fe80::d0ce:8aff:fe4c:39f6,fe80::d0ce:8aff:fe4c:39f6,2,142,1,0.001136,0.001136
fe80::d429:e8ff:fea4:4356,fe80::d429:e8ff:fea4:4356,2,142,1,0.001136,0.001136
fe80::dcb4:cdff:fe33:65e7,fe80::dcb4:cdff:fe33:65e7,2,142,1,0.001136,0.001136
