IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1175,411970,36,0.09154888888888889,0.813952
10.10.10.2,10.10.10.2,975,105739,36,0.023497555555555556,0.036424
172.30.0.12,172.30.0.12,192,43000,18,0.01911111111111111,0.056608
192.168.254.2,192.168.254.2,138,37632,11,0.027368727272727274,0.058656
142.250.101.109,142.250.101.109,22,5663,2,0.022652,0.040536
172.30.0.1,172.30.0.1,49,5657,12,0.003771333333333333,0.009784
34.117.59.81,34.117.59.81,8,2040,2,0.00816,0.008184
104.26.13.205,104.26.13.205,8,1402,2,0.005608,0.00564
fe80::9410:6eff:fe0e:aae1,fe80::9410:6eff:fe0e:aae1,2,142,1,0.001136,0.001136
fe80::f868:97ff:fed5:376f,fe80::f868:97ff:fed5:376f,2,142,1,0.001136,0.001136
fe80::f49c:b4ff:fec2:87f4,fe80::f49c:b4ff:fec2:87f4,2,142,1,0.001136,0.001136
fe80::ac9b:c3ff:fe3f:1f47,fe80::ac9b:c3ff:fe3f:1f47,2,142,1,0.001136,0.001136
fe80::41d:96ff:fea1:f48e,fe80::41d:96ff:fea1:f48e,2,142,1,0.001136,0.001136
fe80::5085:95ff:febf:c4c9,fe80::5085:95ff:febf:c4c9,2,142,1,0.001136,0.001136
fe80::4c69:f0ff:fe3f:e594,fe80::4c69:f0ff:fe3f:e594,2,142,1,0.001136,0.001136
fe80::34ed:d3ff:feec:ec1d,fe80::34ed:d3ff:feec:ec1d,2,142,1,0.001136,0.001136
fe80::fc33:a7ff:fe82:5287,fe80::fc33:a7ff:fe82:5287,2,142,1,0.001136,0.001136
fe80::ccf1:48ff:fedd:41ff,fe80::ccf1:48ff:fedd:41ff,1,70,1,0.00056,0.00056
