IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.14,172.30.0.14,120,41931,7,0.04792114285714286,0.137488
192.168.254.2,192.168.254.2,112,28762,6,0.03834933333333333,0.080528
172.30.0.1,172.30.0.1,17,1842,4,0.003684,0.006192
208.67.72.50,208.67.72.50,2,182,1,0.001456,0.001456
fe80::30cc:c1ff:fe3d:608c,fe80::30cc:c1ff:fe3d:608c,2,142,1,0.001136,0.001136
fe80::480:e1ff:fe8f:2d7e,fe80::480:e1ff:fe8f:2d7e,2,142,1,0.001136,0.001136
fe80::50cc:24ff:fe36:189,fe80::50cc:24ff:fe36:189,2,142,1,0.001136,0.001136
fe80::8499:74ff:fe5f:5848,fe80::8499:74ff:fe5f:5848,2,142,1,0.001136,0.001136
fe80::884a:a6ff:fe02:530f,fe80::884a:a6ff:fe02:530f,2,142,1,0.001136,0.001136
fe80::9cff:51ff:fe2f:6cf6,fe80::9cff:51ff:fe2f:6cf6,2,142,1,0.001136,0.001136
fe80::a445:acff:fe5c:c841,fe80::a445:acff:fe5c:c841,2,142,1,0.001136,0.001136
fe80::c00:baff:fefd:bc9d,fe80::c00:baff:fefd:bc9d,2,142,1,0.001136,0.001136
