IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.1,1427,445268,19,0.18748126315789473,1.400128
10.10.10.3,10.10.10.3,1258,138621,18,0.061609333333333335,0.115024
172.30.0.14,172.30.0.14,204,55973,14,0.03198457142857143,0.140864
192.168.254.2,192.168.254.2,154,40784,9,0.03625244444444444,0.079168
172.30.0.1,172.30.0.1,46,5175,7,0.005914285714285714,0.011792
34.117.59.81,34.117.59.81,8,2040,2,0.00816,0.008664
172.67.74.152,172.67.74.152,10,1536,2,0.006144,0.011232
157.245.125.229,157.245.125.229,2,182,2,0.000728,0.000736
fe80::4c60:4cff:feba:325e,fe80::4c60:4cff:feba:325e,2,142,1,0.001136,0.001136
fe80::b022:93ff:fec1:28da,fe80::b022:93ff:fec1:28da,2,142,1,0.001136,0.001136
fe80::6c60:4fff:fe34:775b,fe80::6c60:4fff:fe34:775b,2,142,1,0.001136,0.001136
fe80::54a0:e8ff:fed6:9ec1,fe80::54a0:e8ff:fed6:9ec1,2,142,1,0.001136,0.001136
fe80::50fb:81ff:fed7:3687,fe80::50fb:81ff:fed7:3687,2,142,1,0.001136,0.001136
fe80::4fc:d9ff:fe43:155b,fe80::4fc:d9ff:fe43:155b,2,142,1,0.001136,0.001136
fe80::2806:84ff:fe4a:4120,fe80::2806:84ff:fe4a:4120,2,142,1,0.001136,0.001136
fe80::4454:1fff:fe28:6b47,fe80::4454:1fff:fe28:6b47,2,142,1,0.001136,0.001136
fe80::3c3c:29ff:fea9:cfac,fe80::3c3c:29ff:fea9:cfac,2,142,1,0.001136,0.001136
fe80::2cdb:f0ff:fe8a:6c92,fe80::2cdb:f0ff:fe8a:6c92,2,142,2,0.000568,0.000576
fe80::18dd:e9ff:fe23:b7a7,fe80::18dd:e9ff:fe23:b7a7,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e2c,fe80::1270:fdff:fe57:e2c,2,142,1,0.001136,0.001136
fe80::f453:bdff:fefa:4219,fe80::f453:bdff:fefa:4219,2,142,1,0.001136,0.001136
