# Overall Packet Count: 3761
# Overall Total Bytes: 833829
# Overall Average Packet Size (Bytes): 221.70
# Overall Capture Duration (Seconds): 820.000
# Overall Average Rate (Mbps): 0.008

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.4,3266,668909,41,0.1305188292682927,1.626168
172.30.0.15,192.168.254.2,302,145566,9,0.129392,0.702624
172.30.0.1,172.30.0.15,119,11582,17,0.00545035294117647,0.031504
172.30.0.15,34.117.59.81,15,2738,1,0.021904,0.021904
104.26.12.205,172.30.0.15,18,2318,1,0.018544,0.018544
172.30.0.1,172.30.0.14,7,406,4,0.000812,0.000928
172.30.0.1,172.30.0.12,5,290,3,0.0007733333333333333,0.000928
fe80::a887:edff:febc:55fd,ff02::2,2,142,1,0.001136,0.001136
fe80::e06d:a1ff:fedd:4e19,ff02::2,2,142,1,0.001136,0.001136
fe80::dca0:ff:fed2:1ed3,ff02::2,2,142,1,0.001136,0.001136
fe80::dc87:c1ff:fe65:2c50,ff02::2,2,142,1,0.001136,0.001136
fe80::c860:a4ff:fe7f:a8a1,ff02::2,2,142,1,0.001136,0.001136
fe80::c807:a0ff:fe44:1e2b,ff02::2,2,142,1,0.001136,0.001136
fe80::c43a:fff:fe47:3dff,ff02::2,2,142,1,0.001136,0.001136
fe80::445c:9ff:fedc:69fc,ff02::2,2,142,1,0.001136,0.001136
fe80::7c54:2cff:fe28:c22f,ff02::2,2,142,1,0.001136,0.001136
fe80::7886:94ff:fe2f:4992,ff02::2,2,142,1,0.001136,0.001136
fe80::2cdd:4cff:fe4f:20ab,ff02::2,2,142,1,0.001136,0.001136
fe80::1cbf:c7ff:fe3a:c974,ff02::2,2,142,1,0.001136,0.001136
fe80::e0aa:fbff:fe44:1451,ff02::2,2,142,1,0.001136,0.001136
172.30.0.1,172.30.0.11,2,116,2,0.000464,0.000464
172.30.0.1,172.30.0.13,1,58,1,0.000464,0.000464
