Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,947.000,71.603,141.046,275
python3,2993.000,15.127,177.452,656
discern-proc-so,3889.000,3.510,20.395,928
discern-network,3827.000,0.760,3.053,888
discern-logs-so,3206.000,0.737,0.787,717
dockerd,492.000,4.316,6.752,145
exe,23.000,55.600,88.388,9
pip,15.000,78.157,87.819,5
jbd2/vda2-8,401.000,2.027,2.491,123
systemd-journal,3284.000,0.226,0.227,715
dpkg,27.000,21.296,30.404,7
apt-get,28.000,11.643,30.908,7
systemd,209.000,1.038,1.745,64
cc1,4.000,52.688,85.442,2
dpkg-deb,8.000,24.340,40.620,2
pip3,4.000,44.488,57.690,2
kworker/1,14.000,6.337,16.317,6
mandb,9.000,8.828,9.513,2
store,2.000,33.527,33.527,1
apt,12.000,4.698,7.672,3
containerd,30.000,1.846,6.380,7
kworker/0,166.000,0.330,1.076,32
python,2.000,17.336,17.336,1
kswapd0,194.000,0.150,0.151,49
http,2.000,3.624,3.624,1
kworker/2,2.000,3.072,3.072,1
docker,3.000,1.785,1.785,1
sshd,3.000,0.670,1.052,3
OverallSystemRecord,2849.000,4.441,68.707,635
